price_eur	year	km_age	mark
25850	2021	15081	Volkswagen
22860	2021	15000	Hyundai
25850	2022	15000	Volkswagen
25850	2022	14990	Volkswagen
22699	2022	14926	Ford
22830	2021	14632	BMW
22850	2021	14267	Mercedes-Benz
25850	2020	14182	Audi
22980	2020	14095	Audi
25850	2021	13930	Audi
22840	2021	13855	Audi
22850	2022	13609	Seat
22850	2021	13518	Seat
25868	2021	13450	Opel
22860	2020	13200	Polestar
36500	2020	13166	Seat
22849	2021	13000	BMW
22840	2020	12875	Mercedes-Benz
25350	2020	12866	Ford
25850	2020	12810	Seat
22820	2020	12800	Seat
21760	2021	12610	Ford
31859	2020	12500	Mercedes-Benz
22860	2021	12110	Seat
25870	2021	12098	Seat
49998	2021	12043	Seat
25850	2021	12000	Hyundai
25850	2022	11867	Ford
22850	2019	11801	Honda
22840	2021	11769	Volkswagen
25870	2021	11761	Hyundai
31860	2020	11549	Renault
49990	2021	11360	BMW
22840	2021	11335	Hyundai
22800	2019	11248	Opel
25870	2019	11108	Skoda
22850	2017	11000	Audi
25870	2021	10991	Hyundai
21879	2022	10990	Seat
22800	2021	10945	Opel
25650	2022	10800	Ford
25650	2022	10800	BMW
22808	2021	10768	Audi
25795	2022	10555	Mazda
22860	2021	10550	Mazda
25850	2021	10500	Audi
25850	2022	10500	Ford
31840	2020	10496	MINI
22810	2021	10470	Volkswagen
22830	2022	10449	Audi
25870	2021	10400	Volkswagen
22390	2021	10242	Mitsubishi
22850	2020	10000	Audi
25650	2021	10000	Dodge
24880	2021	10000	Volkswagen
24880	2021	10000	Seat
25850	2022	10000	Dacia
25850	2021	9900	Maserati
25850	2021	9900	Mazda
25850	2022	9900	Seat
25850	2021	9885	Volkswagen
22855	2022	9600	Ford
22820	2022	9600	Audi
22300	2021	9500	Skoda
22599	2022	9500	Maserati
22599	2022	9480	Seat
31839	2019	9435	Audi
22840	2021	9220	Volkswagen
22820	2021	9200	Mercedes-Benz
25850	2021	9100	Ford
28111	2022	9100	Suzuki
22450	2021	8967	Ford
25870	2021	8950	Skoda
25850	2022	8900	Ford
22840	2021	8500	Volkswagen
22350	2021	8500	Suzuki
22840	2021	8408	Citroën
22845	2022	8332	BMW
22810	2021	8300	Citroën
27805	2021	8284	Volkswagen
25850	2021	8259	Citroën
22849	2020	8209	Mercedes-Benz
22849	2020	8189	Citroën
24950	2020	8166	MINI
22980	2021	8120	Citroën
25850	2021	8000	Audi
28111	2022	8000	Ford
25870	2022	8000	Opel
25870	2022	8000	MINI
22850	2021	7990	BMW
22340	2022	7990	Mercedes-Benz
25750	2022	7820	Volkswagen
25950	2022	7700	Smart
22480	2020	7500	BMW
25850	2021	7490	Ford
25869	2022	7423	Volkswagen
25850	2022	7200	Audi
25850	2021	7012	Citroën
25863	2021	7000	Citroën
25863	2021	7000	Opel
25863	2021	7000	Citroën
25863	2021	7000	Toyota
25863	2021	7000	Ford
22840	2021	6810	Mercedes-Benz
22800	2022	6800	Volkswagen
22554	2022	6751	MINI
22430	2021	6734	Skoda
25870	2021	6640	Audi
25850	2021	6621	Ford
22850	2021	6541	Volkswagen
22820	2021	6500	Seat
25870	2020	6492	Audi
22740	2022	6400	BMW
25850	2022	6100	Ford
51700	2022	6023	Citroën
28000	2021	6000	Jeep
59900	2022	6000	Audi
25872	2022	6000	Seat
22855	2022	6000	BMW
22855	2022	6000	Ford
22840	2021	5963	Volkswagen
22845	2021	5950	Audi
25850	2020	5550	Ford
22820	2021	5400	Volkswagen
31859	2021	5279	BMW
25870	2021	5250	Volkswagen
22819	2022	5200	MINI
25469	2022	4971	Skoda
22820	2021	4900	Volkswagen
22480	2022	4900	Skoda
25850	2021	4874	Volkswagen
22850	2021	4820	BMW
31860	2019	4630	BMW
25850	2021	4595	Honda
28000	2022	4500	Opel
22850	2022	4500	Volkswagen
22820	2021	4395	Mercedes-Benz
22839	2022	4268	BMW
25850	2021	4200	Mazda
21845	2021	4003	Audi
23562	2022	3990	Alfa_Romeo
28000	2022	3503	Audi
31859	2021	3500	Land_Rover
28000	2022	3468	Ford
25850	2021	3000	Volkswagen
31860	2022	3000	Volkswagen
22810	2022	3000	Mercedes-Benz
25864	2022	2904	Volkswagen
25850	2021	2900	MINI
22820	2022	2900	Audi
47500	2022	2800	Toyota
22820	2022	2500	Volkswagen
22840	2021	2430	Volkswagen
22860	2022	2100	MINI
22800	2022	2001	Audi
51720	2022	2000	Kia
25850	2022	1500	Mercedes-Benz
22816	2023	1500	Peugeot
25850	2021	1320	Mercedes-Benz
22830	2022	1001	Mercedes-Benz
22800	1961	1000	Ford
22660	2022	1000	Volkswagen
25850	1968	580	Volkswagen
25850	2021	550	Audi
22500	None	500	BMW
21990	2021	400	BMW
22825	2022	376	Skoda
22836	2022	202	Ford
25850	2022	200	Volkswagen
25873	2022	150	Volkswagen
31839	2022	111	Citroën
22859	2022	100	Toyota
22840	2022	100	Audi
22840	2021	62	Toyota
22840	2022	62	Audi
22840	2022	62	Opel
22840	2022	62	MINI
22840	2022	62	Audi
22840	2022	62	BMW
22840	2022	62	Ford
22840	2022	62	Audi
22730	2022	57	Infiniti
25870	2022	50	Nissan
25870	2022	50	Volkswagen
25870	2022	50	Volkswagen
25870	2022	50	Skoda
25850	2022	50	Audi
22860	2022	50	Volkswagen
22800	2022	50	Smart
22730	2022	50	Ford
25870	None	50	BMW
22840	2022	32	Skoda
51720	2022	30	Opel
25870	2022	30	Ford
22811	2022	25	Ford
25850	None	25	Fiat
25850	None	25	Skoda
25850	None	25	Volkswagen
22845	None	25	Mercedes-Benz
22845	None	25	Volkswagen
22845	None	25	BMW
22840	2022	20	Volkswagen
22849	None	20	Ford
22840	None	20	Kia
31860	2022	15	BMW
31860	2022	15	Jeep
31860	2022	15	BMW
31860	2022	15	BMW
25850	2022	15	Audi
25850	2022	15	Nissan
22839	2022	12	Nissan
22848	None	11	BMW
25850	2020	10	BMW
22850	2021	10	Volkswagen
22850	2021	10	Plymouth
69470	2022	10	Volkswagen
69470	2022	10	Peugeot
69470	2022	10	BMW
36500	2022	10	BMW
31839	2022	10	Seat
28111	2022	10	Ford
28000	2022	10	Volkswagen
25870	2022	10	Volkswagen
25850	2022	10	BMW
25850	2022	10	Peugeot
24990	2022	10	Volkswagen
22850	2022	10	Volkswagen
22840	2022	10	Ford
22840	2022	10	Mercedes-Benz
22840	2022	10	Citroën
22811	2022	10	Seat
22811	2022	10	Hyundai
22811	2022	10	Volkswagen
22811	2022	10	Ford
22811	2022	10	Ford
21980	2022	10	Ford
22845	2023	10	Fiat
22829	2023	10	Skoda
33885	None	10	BMW
31860	None	10	Renault
26480	None	10	Chrysler
26480	None	10	Audi
26480	None	10	Audi
25875	None	10	Hyundai
22860	None	10	Infiniti
22860	None	10	Seat
22850	None	10	Hyundai
22840	None	10	Mercedes-Benz
22820	None	10	Mazda
22820	None	10	Audi
22820	None	10	Opel
22490	None	10	Volkswagen
22490	None	10	Mercedes-Benz
25850	None	8	Skoda
22840	None	8	Volkswagen
22839	2022	7	Volkswagen
22844	None	7	Mercedes-Benz
22839	2022	5	Opel
28105	None	5	Opel
25875	None	5	Skoda
25850	None	5	Buick
22845	None	5	Mercedes-Benz
22829	None	5	Skoda
31840	2022	1	Skoda
31840	2022	1	Volkswagen
31840	2022	1	BMW
31840	2022	1	Skoda
31840	2022	1	Volvo
22845	None	1	Volvo
22845	None	1	BMW
22825	2022	0	Volvo
69550	None	0	Volvo
69550	None	0	Opel
51719	None	0	Jeep
51715	None	0	BMW
36500	None	0	Volvo
32445	None	0	Peugeot
31858	None	0	Renault
31855	None	0	Volkswagen
31855	None	0	Volvo
28118	None	0	Volvo
28116	None	0	Renault
28116	None	0	Volkswagen
28116	None	0	Volvo
28116	None	0	Volkswagen
28104	None	0	Hyundai
28000	None	0	Mazda
28000	None	0	Renault
25865	None	0	Volkswagen
25865	None	0	Audi
25850	None	0	Mercedes-Benz
25850	None	0	BMW
25850	None	0	Volkswagen
